rainfall_mm,Q_CN60,Q_CN70,Q_CN80,Q_CN90,Q_CN95
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.007775395444799709
4.0,0.0,0.0,0.0,0.0,0.11971045091238194
5.0,0.0,0.0,0.0,0.0,0.34481273606551716
6.0,0.0,0.0,0.0,0.004423708311733164,0.6627463994159439
7.0,0.0,0.0,0.0,0.062125386092328115,1.0577726290741751
8.0,0.0,0.0,0.0,0.18145994832041323,1.517520151730681
9.0,0.0,0.0,0.0,0.35657205410899956,2.0321302990238856
10.0,0.0,0.0,0.0,0.582325299378505,2.5936499437811253
11.0,0.0,0.0,0.0,0.8541951614089266,3.1955923287111565
12.0,0.0,0.0,0.0,1.1681805198514703,3.8326140025388193
13.0,0.0,0.0,0.0014106583072100213,1.5207300992435275,4.500273562627141
14.0,0.0,0.0,0.026080246913580206,1.9086809774537592,5.194849015120928
15.0,0.0,0.0,0.08039513677811543,2.3292069124121157,5.913197783479598
16.0,0.0,0.0,0.1630239520958083,2.7797747055811564,6.652648181969125
17.0,0.0,0.0,0.27271386430678457,3.258107180734917,7.410914401168264
18.0,0.0,0.0,0.4082848837209301,3.762151636850431,8.186029269799597
19.0,0.0,0.0,0.5686246418338107,4.290052853494862,8.976290602436622
20.0,0.0,0.0,0.7526836158192088,4.84012990025516,9.78021803479894
21.0,0.0,0.0,0.9594707520891363,5.4108561391580245,10.596518030379844
22.0,0.0,0.0004789343710244821,1.1880494505494503,6.000841918688377,11.424055308909761
23.0,0.0,0.01371102295057661,1.4375338753387532,6.608819546020909,12.261829362534746
24.0,0.0,0.04470899470899483,1.707085561497326,7.233630195080575,13.108955033214114
25.0,0.0,0.09299734168457102,1.9959102902374666,7.874212465618348,13.964646354902307
26.0,0.0,0.15811737529776967,2.303255208333333,8.529592355392902,14.828203037714779
27.0,0.0,0.23962648921326637,2.6284061696658094,9.19887444593854,15.698999103455384
28.0,0.0,0.33709746063271423,2.970685279187817,9.881234133958209,16.57647328331712
29.0,0.0,0.4501177877008548,3.329448621553883,10.575910766432091,17.460120867004434
30.0,0.0,0.5782890608659281,3.7040841584158404,11.282201559124635,18.34948675361452
31.0,0.0,0.7212263661816052,4.094009779951099,11.99945619613807,19.244159502517984
32.0,0.0,0.8785577186728825,4.49867149758454,12.727072023163226,20.14376622028445
33.0,0.0,1.0499235240134606,4.9175417661097836,13.464489759651693,21.04796814971663
34.0,0.00010490427484919939,1.2349760668779082,5.350117924528301,14.211189665706552,21.956456851030083
35.0,0.007534871594316251,1.4333790244391704,5.7959207459207445,14.96668810840945,22.868950884467573
36.0,0.026542249870399163,1.644807003581378,6.254493087557602,15.730534479851626,23.78519291917803
37.0,0.05692565391057852,1.8689451004901165,6.725398633257402,16.502308425546023,24.704947205798664
38.0,0.09848834230079424,2.1054884813678796,7.2082207207207185,17.281617347354686,25.627997360456927
39.0,0.15103808432046872,2.3541419831018757,7.702561247216034,18.068094149725326,26.554144416325727
40.0,0.21438703140830803,2.6146197327852017,8.208039647577092,18.861395202020198,27.483205105787743
41.0,0.28835159299836294,2.8866447850610255,8.72429193899782,19.661198493145363,28.41501034198203
42.0,0.37275231655396945,3.1699487763232796,9.250969827586205,20.467201957635538,29.349403873246853
43.0,0.46741377163491477,3.4642715948668084,9.78773987206823,21.279121954892876,30.286241087918793
44.0,0.5721644378405152,3.7693610661352612,10.334282700421939,22.09669188547693,31.225387950245143
45.0,0.6868365964782663,4.084972652266619,10.89029227557411,22.91966093024955,32.16672005093059
46.0,0.8112662258143523,4.410869165184324,11.455475206611569,23.747792899834373,33.11012175816445
47.0,0.9452928997686031,4.746820492526866,12.029550102249488,24.58086518329252,34.055485456937376
48.0,1.0887596899224807,5.092603335750545,12.61224696356275,25.41866778617408,35.002710866117965
49.0,1.2415130707143718,5.448000959779253,13.203306613226452,26.261002449204867,35.951704424171005
50.0,1.4034028277018933,5.812802953611627,13.802480158730157,27.107681839831255,36.90237873560072
51.0,1.5742819687760696,6.186805001330144,14.409528487229862,27.958528809691597,37.854652071229104
52.0,1.7540066382171646,6.569808662988616,15.024221789883267,28.813375711826247,38.80844791629848
53.0,1.9424360334866173,6.961621164884475,15.64633911368015,29.672063772093168,39.763694561142586
54.0,2.139432324654,7.362055198750217,16.275667938931296,30.534442509834264,40.720324729820014
55.0,2.3448605763621515,7.770928729424608,16.912003780718333,31.40036920334829,41.67827524266525
56.0,2.5585886722376974,8.188064810588774,17.55514981273408,32.269708396178984,42.637486709197255
57.0,2.7804872416580073,8.613291408175407,18.204916512059366,33.142331440628,43.597903248246595
58.0,3.0104295887893406,9.046441231080854,18.86112132352941,34.01811607525893,44.559472232527405
59.0,3.248291623814422,9.487351568830155,19.5235883424408,34.89694603347559,45.522144055199185
60.0,3.4939517962710327,9.935864135864138,20.19214801444043,35.778710680540605,46.48587191624089
61.0,3.747291030426423,10.391824922135553,20.86663685152057,36.66330467665218,47.45061162670295
62.0,4.00819266261535,10.85508404971801,21.546897163120565,37.550627663922455,48.41632142911582
63.0,4.276542380472512,11.325495635147265,22.232776801405972,38.440583975302225,49.38296183252019
64.0,4.55222816399287,11.802917657229308,22.924128919860625,39.333082363677846,50.35049546074885
65.0,4.8351402283560585,12.287211830063606,23.62081174438687,40.22803574952775,51.318886912734506
66.0,5.125170968453563,12.778243481043035,24.322688356164385,41.12536098567207,52.28810263374607
67.0,5.4222149050598185,13.27588143360441,25.02962648556876,42.02497863777943,53.25811079656872
68.0,5.726168632590651,13.779997894515214,25.741498316498316,42.92681277941337,54.22888119174342
69.0,6.036930768394741,14.29046834549306,26.458180300500832,43.83079080050688,55.200385126069705
70.0,6.35440190352585,14.80717143896482,27.179552980132446,44.736843228249846,56.172595328655596
71.0,6.678484554945647,15.32998889778214,27.905500821018062,45.644903559460666,57.14548586386725
72.0,7.009083119108826,15.858805418719212,28.635912052117263,46.55490810359231,58.11903205059493
73.0,7.346103826884128,16.39350857958747,29.370678513731825,47.466795835593786,59.09321038730647
74.0,7.689454699766603,16.933988749809966,30.10969551282051,48.380508257912766,60.06799848241036
75.0,8.03904550733819,17.480139004306114,30.852861685214624,49.295989270983576,61.04337498949438
76.0,8.394787725935267,18.031855040544603,31.600078864353307,50.21318505159803,62.01931954704635
77.0,8.756594498483423,18.58903509862939,32.351251956181535,51.13204393860497,62.9958127222991
78.0,9.12438059546117,19.151579884290168,33.106288819875765,52.052516325428385,63.97283595887417
79.0,9.498062376955758,19.71939249465484,33.8651001540832,52.97455455893434,64.95037152792791
80.0,9.877557755775578,20.292378346687514,34.6275993883792,53.89811284421336,65.92840248252945
81.0,10.262786161585053,20.87044510818096,35.393702579666154,54.823147154878534,66.90691261502396
82.0,10.653668506029023,21.453502631197804,36.163328313253004,55.74961514851017,67.88588641715577
83.0,11.050127148814973,22.041462887859666,36.93639760837069,56.67747608690568,68.86530904274505
84.0,11.45208586472256,22.634239908388206,37.71283382789317,57.60669076081919,69.84516627272941
